,Administracion,Arquitectura y Disenio,Artes y Humanidades,Ciencias,Ciencias Sociales,Derecho,Economia,Educacion,Escuela de Gobierno,Ingenieria,Medicina
Administracion,47,46,8,2,23,18,68,0,9,10,0
Arquitectura y Disenio,71,88,82,8,35,3,3,1,1,40,0
Artes y Humanidades,12,49,24,3,26,4,3,0,4,10,0
Ciencias,3,1,13,163,18,1,11,1,3,93,0
Ciencias Sociales,39,22,56,10,192,102,40,10,27,7,0
Derecho,43,6,14,3,105,0,43,1,32,2,0
Economia,145,5,11,13,44,36,0,0,52,24,0
Educacion,1,0,2,0,4,0,0,3,0,0,0
Escuela de Gobierno,8,2,0,1,19,22,40,1,0,1,0
Ingenieria,134,104,17,220,23,10,115,1,7,696,0
Medicina,2,2,5,26,13,1,1,0,2,19,0